num,send_time,sender,troughput,head,lat_id,long_id
211,0.856482,1649760492,0.109054,180,6.20153e-91,1.17119e+166
212,0.856789,1350490027,0.109531,180,0,0
213,0.857369,1967513926,0.109974,180,0,0
214,0.857586,1102520059,0.110462,180,0,0
215,0.858009,1025202362,0.110923,180,0,0
216,0.858361,719885386,0.111394,180,0,0
217,0.858443,1804289383,0.111899,270,52.2771,1
218,0.858473,846930886,0.112411,270,42.0655,1
219,0.858701,1189641421,0.112896,180,0,0
220,0.859572,596516649,0.113297,180,0,0
221,0.950567,1714636915,0.102917,270,21.8529,1
222,0.951352,1365180540,0.103297,180,0,0
223,0.951497,1540383426,0.103747,180,0,0
224,0.953844,1681692777,0.103956,270,32.0634,1
225,0.953865,304089172,0.104417,180,4.67368e-310,4.67368e-310
226,0.954499,1303455736,0.104812,180,0,0
227,0.954736,2044897763,0.105249,180,0,0
228,0.954777,1957747793,0.105708,270,11.7534,1
229,0.9548,424238335,0.10617,180,0,0
230,0.95582,783368690,0.106519,180,0,0
231,0.956482,1649760492,0.106908,180,6.20153e-91,1.17119e+166
232,0.956789,1350490027,0.107337,180,0,0
233,0.957369,1967513926,0.107734,180,0,0
234,0.957586,1102520059,0.108172,180,0,0
235,0.958009,1025202362,0.108586,180,0,0
236,0.958361,719885386,0.109008,180,0,0
237,0.958443,1804289383,0.109461,270,52.5794,1
238,0.958473,846930886,0.109919,270,42.3297,1
239,0.958701,1189641421,0.110355,180,0,0
240,0.959572,596516649,0.110716,180,0,0
241,1.05057,1714636915,0.101548,270,22.0492,1
242,1.05135,1365180540,0.101893,180,0,0
243,1.0515,1540383426,0.1023,180,0,0
244,1.05384,1681692777,0.102492,270,32.2992,1
245,1.05386,304089172,0.10291,180,4.67368e-310,4.67368e-310
246,1.0545,1303455736,0.103268,180,0,0
247,1.05474,2044897763,0.103664,180,0,0
248,1.05478,1957747793,0.10408,270,11.9052,1
249,1.0548,424238335,0.104498,180,0,0
250,1.05582,783368690,0.104816,180,0,0
251,1.05648,1649760492,0.105169,180,6.20153e-91,1.17119e+166
252,1.05679,1350490027,0.105558,180,0,0
253,1.05737,1967513926,0.105918,180,0,0
254,1.05759,1102520059,0.106315,180,0,0
255,1.05801,1025202362,0.106691,180,0,0
256,1.05836,719885386,0.107074,180,0,0
257,1.05844,1804289383,0.107484,270,52.8548,1
258,1.05847,846930886,0.107899,270,42.5745,1
259,1.0587,1189641421,0.108294,180,0,0
260,1.05957,596516649,0.108623,180,0,0
261,1.15057,1714636915,0.100417,270,22.2831,1
262,1.15135,1365180540,0.100733,180,0,0
263,1.1515,1540383426,0.101104,180,0,0
264,1.15384,1681692777,0.101282,270,32.5727,1
265,1.15386,304089172,0.101664,180,4.67368e-310,4.67368e-310
266,1.1545,1303455736,0.101992,180,0,0
267,1.15474,2044897763,0.102354,180,0,0
268,1.15478,1957747793,0.102734,270,12.1116,1
269,1.1548,424238335,0.103115,180,0,0
270,1.15582,783368690,0.103407,180,0,0
271,1.15648,1649760492,0.103731,180,6.20153e-91,1.17119e+166
272,1.15679,1350490027,0.104086,180,0,0
273,1.15737,1967513926,0.104416,180,0,0
274,1.15759,1102520059,0.104779,180,0,0
275,1.15801,1025202362,0.105123,180,0,0
276,1.15836,719885386,0.105473,180,0,0
277,1.15844,1804289383,0.105848,270,53.2002,1
278,1.15847,846930886,0.106227,270,42.8855,1
279,1.1587,1189641421,0.106588,180,0,0
280,1.15957,596516649,0.10689,180,0,0
281,1.25057,1714636915,0.0994663,270,22.5547,1
282,1.25135,1365180540,0.0997577,180,0,0
283,1.2515,1540383426,0.1001,180,0,0
284,1.25384,1681692777,0.100266,270,32.8839,1
285,1.25386,304089172,0.100617,180,4.67368e-310,4.67368e-310
286,1.2545,1303455736,0.100919,180,0,0
287,1.25474,2044897763,0.101253,180,0,0
288,1.25478,1957747793,0.101602,270,12.3557,1
289,1.2548,424238335,0.101953,180,0,0
290,1.25582,783368690,0.102223,180,0,0
291,1.25648,1649760492,0.102521,180,6.20153e-91,1.17119e+166
292,1.25679,1350490027,0.102848,180,0,0
293,1.25737,1967513926,0.103153,180,0,0
294,1.25759,1102520059,0.103487,180,0,0
295,1.25801,1025202362,0.103804,180,0,0
296,1.25836,719885386,0.104127,180,0,0
297,1.25844,1804289383,0.104472,270,53.6282,1
298,1.25847,846930886,0.104821,270,43.2751,1
299,1.2587,1189641421,0.105154,180,0,0
300,1.25957,596516649,0.105433,180,0,0
301,1.35057,1714636915,0.0986568,270,22.864,1
302,1.35135,1365180540,0.0989271,180,0,0
303,1.3515,1540383426,0.099244,180,0,0
304,1.35384,1681692777,0.099399,270,33.2737,1
305,1.35386,304089172,0.0997244,180,4.67368e-310,4.67368e-310
306,1.3545,1303455736,0.100004,180,0,0
307,1.35474,2044897763,0.100314,180,0,0
308,1.35478,1957747793,0.100637,270,12.7051,1
309,1.3548,424238335,0.100963,180,0,0
310,1.35582,783368690,0.101213,180,0,0
311,1.35648,1649760492,0.10149,180,6.20153e-91,1.17119e+166
312,1.35679,1350490027,0.101793,180,0,0
313,1.35737,1967513926,0.102076,180,0,0
314,1.35759,1102520059,0.102386,180,0,0
315,1.35801,1025202362,0.10268,180,0,0
316,1.35836,719885386,0.102979,180,0,0
317,1.35844,1804289383,0.103299,270,54.1027,1
318,1.35847,846930886,0.103622,270,43.7112,1
319,1.3587,1189641421,0.103931,180,0,0
320,1.35957,596516649,0.10419,180,0,0
321,1.45057,1714636915,0.0979589,270,23.2108,1
322,1.45135,1365180540,0.0982109,180,0,0
323,1.4515,1540383426,0.0985061,180,0,0
324,1.45384,1681692777,0.0986516,270,33.6191,1
325,1.45386,304089172,0.0989546,180,4.67368e-310,4.67368e-310
326,1.4545,1303455736,0.0992158,180,0,0
327,1.45474,2044897763,0.099504,180,0,0
328,1.45478,1957747793,0.0998055,270,12.9567,1
329,1.4548,424238335,0.100108,180,0,0
330,1.45582,783368690,0.100342,180,0,0
331,1.45648,1649760492,0.1006,180,6.20153e-91,1.17119e+166
332,1.45679,1350490027,0.100883,180,0,0
333,1.45737,1967513926,0.101147,180,0,0
334,1.45759,1102520059,0.101435,180,0,0
335,1.45801,1025202362,0.101709,180,0,0
336,1.45836,719885386,0.101988,180,0,0
337,1.45844,1804289383,0.102286,270,54.4625,1
338,1.45847,846930886,0.102588,270,44.0935,1
339,1.4587,1189641421,0.102875,180,0,0
340,1.45957,596516649,0.103117,180,0,0
341,1.55057,1714636915,0.097351,270,23.6403,1
342,1.55135,1365180540,0.0975871,180,0,0
343,1.5515,1540383426,0.0978633,180,0,0
344,1.55384,1681692777,0.0980004,270,34.0431,1
345,1.55386,304089172,0.098284,180,4.67368e-310,4.67368e-310
346,1.5545,1303455736,0.0985286,180,0,0
347,1.55474,2044897763,0.0987983,180,0,0
348,1.55478,1957747793,0.0990805,270,13.3557,1
349,1.5548,424238335,0.0993637,180,0,0
350,1.55582,783368690,0.0995831,180,0,0
351,1.55648,1649760492,0.0998251,180,6.20153e-91,1.17119e+166
352,1.55679,1350490027,0.10009,180,0,0
353,1.55737,1967513926,0.100337,180,0,0
354,1.55759,1102520059,0.100607,180,0,0
355,1.55801,1025202362,0.100864,180,0,0
356,1.55836,719885386,0.101125,180,0,0
357,1.55844,1804289383,0.101404,270,55.016,1
358,1.55847,846930886,0.101686,270,44.5591,1
359,1.5587,1189641421,0.101955,180,0,0
360,1.55957,596516649,0.102182,180,0,0
361,1.65057,1714636915,0.0968168,270,24.0666,1
362,1.65135,1365180540,0.0970389,180,0,0
363,1.6515,1540383426,0.0972984,180,0,0
364,1.65384,1681692777,0.097428,270,34.5046,1
365,1.65386,304089172,0.0976944,180,4.67368e-310,4.67368e-310
366,1.6545,1303455736,0.0979245,180,0,0
367,1.65474,2044897763,0.098178,180,0,0
368,1.65478,1957747793,0.0984431,270,13.7545,1
369,1.6548,424238335,0.0987092,180,0,0
370,1.65582,783368690,0.0989157,180,0,0
371,1.65648,1649760492,0.0991435,180,6.20153e-91,1.17119e+166
372,1.65679,1350490027,0.0993923,180,0,0
373,1.65737,1967513926,0.0996246,180,0,0
374,1.65759,1102520059,0.0998786,180,0,0
375,1.65801,1025202362,0.10012,180,0,0
376,1.65836,719885386,0.100366,180,0,0
377,1.65844,1804289383,0.100628,270,55.5539,1
378,1.65847,846930886,0.100893,270,45.0614,1
379,1.6587,1189641421,0.101146,180,0,0
380,1.65957,596516649,0.101359,180,0,0
381,1.75057,1714636915,0.0963436,270,24.5305,1
382,1.75135,1365180540,0.0965532,180,0,0
383,1.7515,1540383426,0.096798,180,0,0
384,1.75384,1681692777,0.0969208,270,35.0616,1
385,1.75386,304089172,0.0971721,180,4.67368e-310,4.67368e-310
386,1.7545,1303455736,0.0973892,180,0,0
387,1.75474,2044897763,0.0976284,180,0,0
388,1.75478,1957747793,0.0978784,270,14.1908,1
389,1.7548,424238335,0.0981293,180,0,0
390,1.75582,783368690,0.0983244,180,0,0
391,1.75648,1649760492,0.0985394,180,6.20153e-91,1.17119e+166
392,1.75679,1350490027,0.0987742,180,0,0
393,1.75737,1967513926,0.0989934,180,0,0
394,1.75759,1102520059,0.0992331,180,0,0
395,1.75801,1025202362,0.099461,180,0,0
396,1.75836,719885386,0.0996929,180,0,0
397,1.75844,1804289383,0.0999399,270,56.1294,1
398,1.75847,846930886,0.10019,270,45.5999,1
399,1.7587,1189641421,0.100429,180,0,0
400,1.75957,596516649,0.100631,180,0,0
401,1.85057,1714636915,0.0959216,270,25.0319,1
402,1.85135,1365180540,0.09612,180,0,0
403,1.8515,1540383426,0.0963516,180,0,0
404,1.85384,1681692777,0.0964684,270,35.6025,1
405,1.85386,304089172,0.0967061,180,4.67368e-310,4.67368e-310
406,1.8545,1303455736,0.0969117,180,0,0
407,1.85474,2044897763,0.097138,180,0,0
408,1.85478,1957747793,0.0973745,270,14.6648,1
409,1.8548,424238335,0.097612,180,0,0
410,1.85582,783368690,0.0977968,180,0,0
411,1.85648,1649760492,0.0980004,180,6.20153e-91,1.17119e+166
412,1.85679,1350490027,0.0982226,180,0,0
413,1.85737,1967513926,0.0984303,180,0,0
414,1.85759,1102520059,0.0986571,180,0,0
415,1.85801,1025202362,0.0988729,180,0,0
416,1.85836,719885386,0.0990923,180,0,0
417,1.85844,1804289383,0.0993262,270,56.7425,1
418,1.85847,846930886,0.0995628,270,46.1728,1
419,1.8587,1189641421,0.0997887,180,0,0
420,1.85957,596516649,0.09998,180,0,0
421,1.95057,1714636915,0.0955428,270,25.5709,1
422,1.95135,1365180540,0.0957312,180,0,0
423,1.9515,1540383426,0.095951,180,0,0
424,1.95384,1681692777,0.0960623,270,36.1809,1
425,1.95386,304089172,0.0962878,180,4.67368e-310,4.67368e-310
426,1.9545,1303455736,0.096483,180,0,0
427,1.95474,2044897763,0.0966978,180,0,0
428,1.95478,1957747793,0.0969222,270,15.1763,1
429,1.9548,424238335,0.0971475,180,0,0
430,1.95582,783368690,0.0973232,180,0,0
431,1.95648,1649760492,0.0975165,180,6.20153e-91,1.17119e+166
432,1.95679,1350490027,0.0977275,180,0,0
433,1.95737,1967513926,0.0979246,180,0,0
434,1.95759,1102520059,0.0981399,180,0,0
435,1.95801,1025202362,0.0983448,180,0,0
436,1.95836,719885386,0.0985532,180,0,0
437,1.95844,1804289383,0.0987751,270,57.3932,1
438,1.95847,846930886,0.0989996,270,46.7747,1
439,1.9587,1189641421,0.0992141,180,0,0
440,1.95957,596516649,0.0993959,180,0,0
441,2.05057,1714636915,0.095201,270,26.1474,1
442,2.05135,1365180540,0.0953803,180,0,0
443,2.0515,1540383426,0.0955894,180,0,0
444,2.05384,1681692777,0.0956957,270,36.7968,1
445,2.05386,304089172,0.0959102,180,4.67368e-310,4.67368e-310
446,2.0545,1303455736,0.0960961,180,0,0
447,2.05474,2044897763,0.0963004,180,0,0
448,2.05478,1957747793,0.096514,270,15.7254,1
449,2.0548,424238335,0.0967283,180,0,0
450,2.05582,783368690,0.0968956,180,0,0
451,2.05648,1649760492,0.0970797,180,6.20153e-91,1.17119e+166
452,2.05679,1350490027,0.0972804,180,0,0
453,2.05737,1967513926,0.0974682,180,0,0
454,2.05759,1102520059,0.097673,180,0,0
455,2.05801,1025202362,0.097868,180,0,0
456,2.05836,719885386,0.0980664,180,0,0
457,2.05844,1804289383,0.0982775,270,58.0815,1
